SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30000177,MERM W S/A SACHET DSCO 24X200GR,WATT'S,MERMELADAS WATTS SACHET SIN AZUCAR,MERMELADAS,Unimarc,202610,202603,0.504,0.2658354114713217,0.504,0.504,0.0,0.0,0.3946
30000178,MERM W S/A SACHET MORA 24X200GR,WATT'S,MERMELADAS WATTS SACHET SIN AZUCAR,MERMELADAS,Unimarc,202610,202603,1.0368,0.6315540263265887,1.0368,1.0368,0.0,0.0,0.8888000000000003
30000179,MERM W S/A SACHET FRAM 24X200GR,WATT'S,MERMELADAS WATTS SACHET SIN AZUCAR,MERMELADAS,Unimarc,202610,202603,1.008,0.4038826983174975,1.008,1.008,0.0,0.0,0.5387999999999998
30000180,MERM W S/A SACH ARANDANO 24X200GR,WATT'S,MERMELADAS WATTS SACHET SIN AZUCAR,MERMELADAS,Unimarc,202610,202603,0.5184,0.3864831591906311,0.5184,0.5184,0.0,0.0,0.4584
30000192,DULCE MEMBRILLO 12X500GR,WATT'S,DULCE,DULCES,Unimarc,202610,202603,1.68,0.8400000000000001,1.68,1.68,0.0,0.0,1.742
30000194,DULCE MEMBRILLO WATT'S 12X250GR,WATT'S,DULCE,DULCES,Unimarc,202610,202603,1.224,0.7,1.224,1.224,0.0,0.0,0.7130000000000001
30000195,DULCE MEMBRILLO WATT'S 12X1KG,WATT'S,DULCE,DULCES,Unimarc,202610,202603,0.0,0.9,0.0,0.0,0.0,0.0,0.326
30000206,NECTAR WATTS MZNA LIGHT 30X200ML,WATT'S,NECTAR WATTS LIGHT INDIVIDUAL,JUGOS Y NECTARES,Unimarc,202610,202603,0.0,0.5,0.0,0.0,0.0,0.0,0.4964
30000207,NECTAR WATTS PIÑA LIGHT 30X200ML,WATT'S,NECTAR WATTS LIGHT INDIVIDUAL,JUGOS Y NECTARES,Unimarc,202610,202603,0.0,0.8473080317740513,0.0,0.0,0.0,0.0,0.7005999999999999
30000254,NECTAR W NJA LIG SIXPACK 30X200ML,WATT'S,NECTAR WATTS LIGHT INDIVIDUAL,JUGOS Y NECTARES,Unimarc,202610,202603,0.864,0.6536376245114108,0.864,0.864,0.0,0.0,0.6746000000000001
30000255,NECTAR W DZNO SIXPACK 30X200ML,WATT'S,NECTAR WATTS REGULAR INDIVIDUAL,JUGOS Y NECTARES,Unimarc,202610,202603,0.864,2.319999999999999,0.864,0.864,0.0,0.0,5.6708
30000256,NECTAR W PIÑA SIXPACK 30X200ML,WATT'S,NECTAR WATTS REGULAR INDIVIDUAL,JUGOS Y NECTARES,Unimarc,202610,202603,0.0,1.76,0.0,0.0,0.0,0.0,4.4852
30000257,NECTAR W MZNA SIXPACK 30X200ML,WATT'S,NECTAR WATTS REGULAR INDIVIDUAL,JUGOS Y NECTARES,Unimarc,202610,202603,1.728,1.68,1.728,1.728,0.0,0.0,3.5606
30000258,NECTAR W NJA SIXPACK 30X200ML,WATT'S,NECTAR WATTS REGULAR INDIVIDUAL,JUGOS Y NECTARES,Unimarc,202610,202603,0.0,1.44,0.0,0.0,0.0,0.0,3.638599999999999
